period,era,start,end,rps,ir,momentum_sign,blend,n_assets_scored
37,extended-yr3,2024-12-05,2025-01-02,0.16246211241127617,-0.768934298622805,-0.042648894729060104,0.4217948717948718,98
38,extended-yr3,2025-01-02,2025-01-30,0.1555472229966709,5.214573536046885,-0.04337087720652452,0.43374999999999997,98
39,extended-yr3,2025-01-30,2025-02-27,0.1574629956657693,2.1693990638326244,-0.044940215619651974,0.4329268292682926,98
40,extended-yr3,2025-02-27,2025-03-27,0.15574626350529583,-3.1392753592940106,-0.046478058684614354,0.4345238095238094,98
41,extended-yr3,2025-03-27,2025-04-24,0.15947972156632928,0.5607338042117304,-0.04134125062591175,0.4337209302325582,98
42,extended-yr3,2025-04-24,2025-05-22,0.15827502466739224,-2.5821822340443124,-0.039620987086459544,0.4397727272727273,98
43,extended-yr3,2025-05-22,2025-06-19,0.15699774742061978,-2.71408268293454,-0.040148802451786196,0.4411111111111111,98
44,extended-yr3,2025-06-19,2025-07-17,0.15264159718033882,0.0031369026663048394,-0.04158620890096918,0.44239130434782614,98
45,extended-yr3,2025-07-17,2025-08-14,0.1491417176083485,3.247705727984404,-0.041391357326374625,0.43510638297872345,98
46,extended-yr3,2025-08-14,2025-09-11,0.15765414799885735,-5.894376600102775,-0.03788124715842844,0.4260416666666667,98
47,extended-yr3,2025-09-11,2025-10-09,0.14840904471767927,1.466046321000975,-0.03566884935068076,0.42755102040816334,98
48,extended-yr3,2025-10-09,2025-11-06,0.1513834687609857,7.917928817789877,-0.033967679024022715,0.41900000000000004,98
